Unnamed: 0,v,vw,o,c,h,l,t,n,date,UnderlyingPrice,ClosePrice,OpenPrice
0.0,177735,0.7805,2.36,0.01,2.41,0.01,1642482000000,21000,2022-01-18,459,456.98,459.09
,157260,1.3189,3.09,0.01,4.45,0.01,1642568400000,19923,2022-01-19,456,451.75,456.395
,80764,1.5872,4.32,0.01,6.45,0.01,1642741200000,8337,2022-01-21,442,437.61,442.81
,163403,2.3885,6.0,11.6,12.33,0.57,1643000400000,19918,2022-01-24,428,440.17,428.64
,59470,3.1295,4.81,0.01,6.31,0.01,1643173200000,5936,2022-01-26,439,433.24,439.1799
,63964,3.2587,4.5,11.17,12.08,1.87,1643346000000,10586,2022-01-28,430,441.41,430.76
,79625,2.2295,1.19,4.73,6.38,0.91,1643605200000,16327,2022-01-31,444,448.58,444.37
,87425,2.0017,0.86,0.43,4.09,0.26,1643778000000,12585,2022-02-02,454,454.38,454.18
,74485,2.3129,2.53,2.09,6.68,1.05,1643950800000,10231,2022-02-04,446,448.05,446.08
,219551,1.1646,2.13,0.02,2.61,0.01,1644210000000,24586,2022-02-07,449,447.95,449.81
,84400,1.9705,1.67,2.58,2.87,1.2,1644382800000,11305,2022-02-09,455,457.69,455.93
,100083,1.1884,2.34,0.01,3.65,0.01,1644555600000,12531,2022-02-11,449,441.47,449.72
,81084,1.9334,4.07,1.21,4.62,0.77,1644814800000,9655,2022-02-14,438,439.1,438.93
,89299,1.886,2.6,3.2,5.0,1.03,1644987600000,12172,2022-02-16,443,446.16,443.29
,150105,1.0314,3.07,0.06,3.77,0.03,1645160400000,18448,2022-02-18,436,434.1,436.87
,139346,0.7789,1.19,0.01,2.57,0.01,1645506000000,18589,2022-02-22,435,430.87,435.44
,121501,1.3489,5.35,0.01,5.85,0.01,1645592400000,16549,2022-02-23,428,421.16,428.36
,73257,2.3605,1.83,6.87,6.98,0.97,1645765200000,10938,2022-02-25,431,437.78,431.86
,77374,2.98,3.07,4.68,6.4,1.05,1646024400000,7675,2022-02-28,432,436.75,432.93
,77751,2.3129,1.78,3.43,5.51,1.3,1646197200000,16561,2022-03-02,434,437.05,434.34
,59515,2.2688,4.6,2.87,4.76,1.18,1646370000000,8932,2022-03-04,429,431.78,429.81
,145556,0.9063,6.13,0.01,6.39,0.01,1646629200000,15270,2022-03-07,426,418.34,426.08
,111654,2.1795,2.26,0.01,4.33,0.01,1670994000000,18076,2022-12-14,404,400.37,404.11
,194123,0.7421,4.37,0.01,4.52,0.01,1671080400000,22464,2022-12-15,391,389.18,391.14
,183559,1.2035,4.05,0.64,4.91,0.6,1671166800000,22092,2022-12-16,382,382.73,382.64
,215554,0.5878,1.71,0.01,1.89,0.01,1671426000000,28348,2022-12-19,383,379.75,383.53
,315057,0.8036,0.73,0.01,1.81,0.01,1671512400000,43823,2022-12-20,381,380.99,381.48
,216244,1.0974,0.6,1.74,2.58,0.45,1671598800000,34510,2022-12-21,385,386.88,385.15
,207612,0.6612,4.25,1.35,4.44,0.08,1671685200000,21556,2022-12-22,379,380.54,379.485
,165893,1.2685,1.12,1.71,2.3,0.55,1671771600000,31392,2022-12-23,381,382.63,381.41
,281022,0.7614,1.85,0.01,2.01,0.01,1672117200000,35103,2022-12-27,382,381.5,382.4
,284688,0.4755,2.16,0.01,3.65,0.01,1672203600000,28587,2022-12-28,380,377.04,380.65
,162278,1.1429,0.44,1.32,2.41,0.38,1672290000000,26212,2022-12-29,382,383.08,382.3184
,251515,0.9899,1.87,3.02,3.58,0.26,1672376400000,33468,2022-12-30,380,383.04,380.81
,291580,0.8473,4.79,0.46,6.47,0.21,1672722000000,35406,2023-01-03,380,380.69,380.89
,54409,2.1178,3.15,2.75,5.11,0.57,1672808400000,8486,2023-01-04,381,383.42,381.66
,356327,0.9632,2.53,0.01,2.67,0.01,1672894800000,47585,2023-01-05,380,379.76,380.235
,80850,2.0174,2.21,6.08,7.2,0.81,1672981200000,15433,2023-01-06,382,387.78,382.93
,294406,0.8754,1.04,0.01,2.82,0.01,1673240400000,37553,2023-01-09,391,387.79,391.4201
,185125,1.3324,1.24,2.55,2.96,0.58,1673326800000,29147,2023-01-10,388,390.62,388.26
,365628,0.9652,0.96,2.43,2.94,0.41,1673413200000,60199,2023-01-11,393,395.68,393.05
,134323,1.782,3.16,2.02,3.53,0.85,1673499600000,22920,2023-01-12,395,396.92,395.92
,253684,1.0373,0.63,2.32,3.08,0.46,1673586000000,41057,2023-01-13,396,398.6,396.5
,450137,0.5188,0.99,0.01,1.77,0.01,1673931600000,52131,2023-01-17,399,,399.71
,194664,0.6192,1.29,0.01,1.66,0.01,1674018000000,22572,2023-01-18,399,391.47,399.44
,268147,0.8974,1.6,0.09,2.2,0.08,1674104400000,35402,2023-01-19,389,389.14,389.06
,227865,1.3996,1.33,5.9,5.96,0.75,1674190800000,37024,2023-01-20,390,395.85,390.95
