Unnamed: 0,v,vw,o,c,h,l,t,n,date,UnderlyingPrice,ClosePrice,OpenPrice
0.0,46154,2.1385,1.58,2.59,4.18,1.03,1642482000000,6807,2022-01-18,459,456.98,459.09
1.0,243023,1.082,1.04,3.88,4.56,0.36,1642568400000,31997,2022-01-19,456,451.75,456.395
2.0,218803,1.4747,0.97,3.91,4.51,0.4,1642741200000,28234,2022-01-21,442,437.61,442.81
,219380,2.3575,1.67,0.01,7.71,0.01,1643000400000,31118,2022-01-24,428,440.17,428.64
,89672,2.9918,3.01,6.36,10.23,1.13,1643173200000,14302,2022-01-26,439,433.24,439.1799
,259843,1.1205,1.71,0.01,4.07,0.01,1643346000000,32289,2022-01-28,430,441.41,430.76
,186036,1.0418,4.06,0.01,5.07,0.01,1643605200000,21297,2022-01-31,444,448.58,444.37
,307967,0.8962,1.1,0.3,2.07,0.01,1643778000000,33457,2022-02-02,454,454.38,454.18
,179869,1.2245,2.1,0.01,3.18,0.01,1643950800000,19488,2022-02-04,446,448.05,446.08
,186814,1.2385,1.69,1.0,3.15,0.16,1644210000000,22087,2022-02-07,449,447.95,449.81
,334437,0.7129,1.48,0.01,1.58,0.01,1644382800000,33701,2022-02-09,455,457.69,455.93
,112039,2.2399,1.99,8.4,10.0,1.11,1644555600000,19310,2022-02-11,449,441.47,449.72
,214082,1.4738,1.98,0.07,3.4,0.04,1644814800000,32417,2022-02-14,438,439.1,438.93
,202336,1.2629,2.09,0.01,2.43,0.01,1644987600000,24355,2022-02-16,443,446.16,443.29
,163816,1.7984,1.68,1.41,4.49,0.67,1645160400000,23529,2022-02-18,436,434.1,436.87
,31660,3.6161,4.1,3.75,9.15,1.83,1645506000000,4798,2022-02-22,435,430.87,435.44
,160741,1.8134,0.81,5.67,6.58,0.56,1645592400000,25446,2022-02-23,428,421.16,428.36
,78962,1.0808,3.29,0.01,4.09,0.01,1645765200000,9698,2022-02-25,431,437.78,431.86
,190208,1.3863,3.07,0.01,3.1,0.01,1646024400000,25402,2022-02-28,432,436.75,432.93
,108103,1.2389,3.38,0.01,3.75,0.01,1646197200000,14025,2022-03-02,434,437.05,434.34
,174996,1.3794,1.61,0.01,2.65,0.01,1646370000000,26815,2022-03-04,429,431.78,429.81
,81339,2.0999,0.71,7.23,7.5,0.68,1646629200000,12996,2022-03-07,426,418.34,426.08
,89699,3.4926,4.37,3.83,8.0,1.87,1670994000000,12588,2022-12-14,404,400.37,404.11
,132292,1.4675,0.61,1.75,3.26,0.4,1671080400000,21346,2022-12-15,391,389.18,391.14
,346798,0.9962,0.86,0.01,1.65,0.01,1671166800000,43918,2022-12-16,382,382.73,382.64
,126499,1.5292,1.19,3.03,4.7,0.77,1671426000000,21858,2022-12-19,383,379.75,383.53
,318206,0.8405,2.54,0.62,3.5,0.14,1671512400000,37793,2022-12-20,381,380.99,381.48
,347220,0.4547,2.34,0.01,2.79,0.01,1671598800000,38561,2022-12-21,385,386.88,385.15
,271886,0.8583,0.3,0.01,4.29,0.01,1671685200000,38290,2022-12-22,379,380.54,379.485
,253524,0.6925,2.38,0.01,3.62,0.01,1671771600000,35274,2022-12-23,381,382.63,381.41
,312801,0.9366,1.09,0.4,2.82,0.2,1672117200000,42968,2022-12-27,382,381.5,382.4
